ticket_id,customer_name,customer_tier,subject,product_area,ai_category,ai_urgency,ai_sentiment,recommended_queue,escalation_flag,confidence_score,triage_reason,fallback_applied,processed_at,assigned_team,destination_system,delivery_action,vip_flag,sla_risk,priority_score
,,,,,login_access,high,frustrated,tier1_support,TRUE,0.9,"User is unable to reset password, which affects access and blocks business operations.",FALSE,2026-03-10T13:41:34.735-04:00,Tier 1 Support,,,,,
,,,,,login_access,high,frustrated,tier1_support,FALSE,0.95,"User is experiencing frequent logouts related to authentication, which impacts their ability to use the app effectively.",FALSE,2026-03-10T13:41:34.738-04:00,Tier 1 Support,,,,,
,,,,,billing_payment,medium,frustrated,billing_ops,TRUE,0.85,"Customer reports double charges, indicating a potential billing system error affecting multiple users.",FALSE,2026-03-10T13:50:54.646-04:00,Billing Operations,,,,,
,,,,,billing_payment,high,frustrated,billing_ops,TRUE,0.95,Payment failure for an enterprise customer can block business operations.,FALSE,2026-03-10T13:50:54.646-04:00,Billing Operations,,,,,
,,,,,billing_payment,medium,neutral,billing_ops,FALSE,0.9,Duplicate charge refund request falls under billing payment category.,FALSE,2026-03-10T13:50:54.646-04:00,Billing Operations,,,,,
,,,,,billing_payment,low,neutral,billing_ops,FALSE,0.9,"Customer is asking for assistance with downloading invoices, which is a billing-related inquiry.",FALSE,2026-03-10T13:50:54.646-04:00,Billing Operations,,,,,
,,,,,billing_payment,medium,neutral,billing_ops,FALSE,0.85,"The inquiry is about pricing confirmation before contract renewal, relevant to billing.",FALSE,2026-03-10T13:50:54.647-04:00,Billing Operations,,,,,
,,,,,billing_payment,medium,frustrated,billing_ops,FALSE,0.85,"Customer reports unrecognized charges on invoice, affecting billing clarity.",FALSE,2026-03-10T13:50:54.647-04:00,Billing Operations,,,,,
,,,,,login_access,high,frustrated,tier1_support,TRUE,0.9,"User is unable to reset password, which affects access and blocks business operations.",FALSE,2026-03-10T14:01:26.089-04:00,Tier 1 Support,,,,,
,,,,,login_access,high,frustrated,tier1_support,FALSE,0.95,"User is experiencing frequent logouts related to authentication, which impacts their ability to use the app effectively.",FALSE,2026-03-10T14:01:26.089-04:00,Tier 1 Support,,,,,
,,,,,billing_payment,medium,frustrated,billing_ops,TRUE,0.85,"Customer reports double charges, indicating a potential billing system error affecting multiple users.",FALSE,2026-03-10T14:01:30.341-04:00,Billing Operations,,,,,
,,,,,billing_payment,high,frustrated,billing_ops,TRUE,0.95,Payment failure for an enterprise customer can block business operations.,FALSE,2026-03-10T14:01:30.341-04:00,Billing Operations,,,,,
,,,,,billing_payment,medium,neutral,billing_ops,FALSE,0.9,Duplicate charge refund request falls under billing payment category.,FALSE,2026-03-10T14:01:30.342-04:00,Billing Operations,,,,,
,,,,,billing_payment,low,neutral,billing_ops,FALSE,0.9,"Customer is asking for assistance with downloading invoices, which is a billing-related inquiry.",FALSE,2026-03-10T14:01:30.342-04:00,Billing Operations,,,,,
,,,,,billing_payment,medium,neutral,billing_ops,FALSE,0.85,"The inquiry is about pricing confirmation before contract renewal, relevant to billing.",FALSE,2026-03-10T14:01:30.342-04:00,Billing Operations,,,,,
,,,,,billing_payment,medium,frustrated,billing_ops,FALSE,0.85,"Customer reports unrecognized charges on invoice, affecting billing clarity.",FALSE,2026-03-10T14:01:30.342-04:00,Billing Operations,,,,,
,,,,,performance_issue,medium,frustrated,technical_support,FALSE,0.85,User is experiencing slow performance issues with the application.,FALSE,2026-03-10T14:01:35.095-04:00,Technical Support,,,,,
,,,,,integration_api,high,frustrated,technical_support,TRUE,0.95,The issue affects an enterprise customer and involves integration failures that can block business operations.,FALSE,2026-03-10T14:01:35.095-04:00,Technical Support,,,,,
,,,,,bug_report,high,frustrated,technical_support,TRUE,0.85,"The issue affects the customer's ability to export reports, which may block business operations.",FALSE,2026-03-10T14:01:35.095-04:00,Technical Support,,,,,
,,,,,bug_report,medium,neutral,technical_support,FALSE,0.85,"The ticket reports an issue with a dashboard widget displaying incorrect data, which is classified as a bug report.",FALSE,2026-03-10T14:01:35.095-04:00,Technical Support,,,,,
,,,,,performance_issue,medium,neutral,technical_support,FALSE,0.85,"The issue relates to slow performance in report generation, which is a known concern but does not appear to affect multiple users or block business operations.",FALSE,2026-03-10T14:01:35.095-04:00,Technical Support,,,,,
,,,,,bug_report,medium,neutral,technical_support,FALSE,0.85,"The issue pertains to a missing data in an exported file, which may impact the customer's usage but does not block business operations.",FALSE,2026-03-10T14:01:35.096-04:00,Technical Support,,,,,
,,,,,feature_request,low,neutral,product_feedback,FALSE,0.8,Feature request related to reporting,FALSE,2026-03-10T14:01:39.911-04:00,Product Feedback,,,,,
,,,,,feature_request,low,neutral,product_feedback,FALSE,0.9,The request is for a feature enhancement and does not indicate urgency or negative sentiment.,FALSE,2026-03-10T14:01:39.912-04:00,Product Feedback,,,,,
,,,,,feature_request,medium,neutral,product_feedback,FALSE,0.9,"The request is for a feature enhancement related to bulk user import, relevant to account management for an enterprise customer.",FALSE,2026-03-10T14:01:39.912-04:00,Product Feedback,,,,,
,,,,,account_management,low,neutral,customer_success,FALSE,0.9,User is requesting help with updating their email address associated with their account.,FALSE,2026-03-10T14:01:43.916-04:00,Customer Success,,,,,
,,,,,general_question,low,neutral,customer_success,FALSE,0.9,"The customer is seeking clarification on API rate limits, which is a general inquiry.",FALSE,2026-03-10T14:01:43.917-04:00,Customer Success,,,,,
,,,,,account_management,medium,neutral,customer_success,FALSE,0.85,User is having difficulty locating the account cancellation option.,FALSE,2026-03-10T14:01:43.917-04:00,Customer Success,,,,,
,,,,,account_management,low,neutral,customer_success,FALSE,0.85,"Customer is asking for guidance on inviting teammates, which is a common request within account management.",FALSE,2026-03-10T14:01:43.917-04:00,Customer Success,,,,,
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,0.95,The issue involves authentication failures for an enterprise customer and blocks business operations.,FALSE,2026-03-10T14:01:48.409-04:00,Urgent Escalations,,,,,
,,,,,integration_api,critical,frustrated,urgent_escalations,TRUE,1,"The issue affects multiple users due to a 500 error in the API, which blocks business operations for enterprise customers.",FALSE,2026-03-10T14:01:48.410-04:00,Urgent Escalations,,,,,
,,,,,account_management,high,frustrated,urgent_escalations,TRUE,0.9,The issue affects multiple users and blocks business operations as it involves inviting new users to an account.,FALSE,2026-03-10T14:01:48.410-04:00,Urgent Escalations,,,,,
,,,,,performance_issue,high,frustrated,urgent_escalations,TRUE,0.9,The issue affects multiple users and blocks business operations.,FALSE,2026-03-10T14:01:48.410-04:00,Urgent Escalations,,,,,
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,1,"The issue affects multiple users, involves authentication failures for enterprise customers, and blocks business operations.",FALSE,2026-03-10T14:01:48.411-04:00,Urgent Escalations,,,,,
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,1,The issue affects multiple users (entire team) and involves authentication failures for an enterprise customer.,FALSE,2026-03-10T14:01:48.411-04:00,Urgent Escalations,,,,,
,,,,,performance_issue,high,frustrated,urgent_escalations,TRUE,0.95,The issue affects multiple users and is blocking business operations due to high API latency and timeouts.,FALSE,2026-03-10T14:01:48.411-04:00,Urgent Escalations,,,,,
,,,,,bug_report,critical,frustrated,urgent_escalations,TRUE,0.95,The issue is a major bug affecting multiple users and blocks business operations.,FALSE,2026-03-10T14:01:48.411-04:00,Urgent Escalations,,,,,
,,,,,login_access,high,frustrated,urgent_escalations,TRUE,0.9,Security concern with unauthorized access attempts in an enterprise account.,FALSE,2026-03-10T14:01:48.411-04:00,Urgent Escalations,,,,,
,,,,,login_access,high,frustrated,tier1_support,TRUE,0.9,"User is unable to reset password, which affects access and blocks business operations.",FALSE,2026-03-10T14:28:38.601-04:00,Tier 1 Support,,,,,
,,,,,login_access,high,frustrated,tier1_support,FALSE,0.95,"User is experiencing frequent logouts related to authentication, which impacts their ability to use the app effectively.",FALSE,2026-03-10T14:28:38.602-04:00,Tier 1 Support,,,,,
,,,,,login_access,high,frustrated,tier1_support,TRUE,0.95,Authentication failure affecting the ability to receive a password reset email.,FALSE,2026-03-10T15:04:06.510-04:00,Tier 1 Support,Zendesk Support Queue,Assign to Tier 1 support queue,FALSE,high,90
,,,,,login_access,high,frustrated,tier1_support,FALSE,0.85,"User is experiencing frequent logouts, indicating a potentially serious issue with authentication.",FALSE,2026-03-10T15:04:06.511-04:00,Tier 1 Support,Zendesk Support Queue,Assign to Tier 1 support queue,FALSE,medium,80
,,,,,billing_payment,medium,frustrated,billing_ops,FALSE,0.9,Customer reports double charges on invoice which they believe is incorrect.,FALSE,2026-03-10T15:04:09.120-04:00,Billing Operations,Billing Queue,Assign to Billing Operations queue,FALSE,low,60
,,,,,billing_payment,high,frustrated,billing_ops,TRUE,0.9,"Payment failure affecting an enterprise customer, indicating a potential system issue that may impact business operations.",FALSE,2026-03-10T15:04:09.121-04:00,Billing Operations,Billing Queue,Assign to Billing Operations queue,FALSE,high,90
,,,,,billing_payment,medium,neutral,billing_ops,FALSE,0.9,"Customer is seeking a refund for a duplicate charge, which fits into the billing/payment category.",FALSE,2026-03-10T15:04:09.121-04:00,Billing Operations,Billing Queue,Assign to Billing Operations queue,FALSE,low,60
,,,,,billing_payment,low,neutral,billing_ops,FALSE,0.9,"Customer is inquiring about where to download invoices, which is a standard billing question.",FALSE,2026-03-10T15:04:09.121-04:00,Billing Operations,Billing Queue,Assign to Billing Operations queue,FALSE,low,30
,,,,,billing_payment,medium,neutral,billing_ops,FALSE,0.85,The ticket pertains to a billing question related to contract renewal pricing for an enterprise customer.,FALSE,2026-03-10T15:04:09.121-04:00,Billing Operations,Billing Queue,Assign to Billing Operations queue,FALSE,low,60
,,,,,billing_payment,medium,neutral,billing_ops,FALSE,0.9,The customer has a billing inquiry regarding unknown charges on an invoice.,FALSE,2026-03-10T15:04:09.122-04:00,Billing Operations,Billing Queue,Assign to Billing Operations queue,FALSE,low,60
,,,,,performance_issue,medium,frustrated,technical_support,FALSE,0.85,"The issue is related to performance and affects the user experience, but does not appear to block business operations.",FALSE,2026-03-10T15:04:10.463-04:00,Technical Support,Jira Service Management,Create technical review work item,FALSE,low,60
,,,,,integration_api,high,frustrated,technical_support,TRUE,0.95,"Integration sync failure affecting an enterprise customer, likely impacting business operations.",FALSE,2026-03-10T15:04:10.463-04:00,Technical Support,Jira Service Management,Create technical review work item,FALSE,high,90
,,,,,bug_report,high,frustrated,technical_support,TRUE,0.9,"The ticket concerns a recurring bug affecting the data export functionality, which is critical for business operations.",FALSE,2026-03-10T15:04:10.463-04:00,Technical Support,Jira Service Management,Create technical review work item,FALSE,high,90
,,,,,bug_report,medium,neutral,technical_support,FALSE,0.9,"The issue is related to incorrect reporting in the analytics dashboard, which is a bug.",FALSE,2026-03-10T15:04:10.464-04:00,Technical Support,Jira Service Management,Create technical review work item,FALSE,low,60
,,,,,performance_issue,medium,neutral,technical_support,FALSE,0.85,Reported slow performance issue affecting report generation.,FALSE,2026-03-10T15:04:10.464-04:00,Technical Support,Jira Service Management,Create technical review work item,FALSE,low,60
,,,,,bug_report,medium,neutral,technical_support,FALSE,0.85,"The ticket describes a bug related to missing columns in an exported CSV, which is a common technical issue.",FALSE,2026-03-10T15:04:10.464-04:00,Technical Support,Jira Service Management,Create technical review work item,FALSE,low,60
,,,,,feature_request,low,neutral,product_feedback,FALSE,0.9,"This is a feature request for exporting dashboard data, applicable for starter tier.",FALSE,2026-03-10T15:04:13.572-04:00,Product Feedback,Product Intake Board,Log feature request for product review,FALSE,low,30
,,,,,feature_request,medium,positive,product_feedback,FALSE,0.9,Customer is suggesting a new feature that would enhance user experience.,FALSE,2026-03-10T15:04:13.573-04:00,Product Feedback,Product Intake Board,Log feature request for product review,FALSE,low,60
,,,,,feature_request,medium,neutral,product_feedback,FALSE,0.9,Customer is requesting a feature to improve their user management process.,FALSE,2026-03-10T15:04:13.573-04:00,Product Feedback,Product Intake Board,Log feature request for product review,FALSE,low,60
,,,,,account_management,low,neutral,customer_success,FALSE,0.9,"User is looking to change their email address, which is a common account management request.",FALSE,2026-03-10T15:04:15.435-04:00,Customer Success,CRM / CSM Queue,Create customer success follow-up task,FALSE,low,30
,,,,,integration_api,low,neutral,customer_success,FALSE,0.85,General inquiry about API rate limits.,FALSE,2026-03-10T15:04:15.435-04:00,Customer Success,CRM / CSM Queue,Create customer success follow-up task,FALSE,low,30
,,,,,account_management,medium,frustrated,customer_success,FALSE,0.85,"Customer is unable to cancel their account, indicating confusion or difficulty with the account management process.",FALSE,2026-03-10T15:04:15.436-04:00,Customer Success,CRM / CSM Queue,Create customer success follow-up task,FALSE,low,60
,,,,,account_management,low,neutral,customer_success,FALSE,0.85,"User is asking how to invite teammates, indicating a need for guidance in account management.",FALSE,2026-03-10T15:04:15.436-04:00,Customer Success,CRM / CSM Queue,Create customer success follow-up task,FALSE,low,30
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,0.95,"Authentication failure after password reset affecting an enterprise customer, blocking business operations.",FALSE,2026-03-10T15:04:17.330-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,integration_api,critical,negative,urgent_escalations,TRUE,0.95,"The issue involves an API returning a 500 error affecting an enterprise customer, blocking business operations.",FALSE,2026-03-10T15:04:17.330-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,account_management,high,frustrated,urgent_escalations,TRUE,0.95,Authentication failures for enterprise customers affecting the ability to add users.,FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,90
,,,,,performance_issue,high,frustrated,urgent_escalations,TRUE,0.9,The issue affects multiple users and blocks business operations.,FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,90
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,1,System outage affecting multiple users which is blocking business operations.,FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,1,The issue affects multiple users and involves authentication failures for enterprise customers.,FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,performance_issue,high,frustrated,urgent_escalations,TRUE,0.9,"The issue affects multiple users, involves high latency impacting automation jobs, and blocks business operations.",FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,90
,,,,,bug_report,critical,frustrated,urgent_escalations,TRUE,0.95,The issue affects multiple users and blocks business operations due to data loss.,FALSE,2026-03-10T15:04:17.332-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,login_access,high,negative,urgent_escalations,TRUE,0.9,The issue involves unauthorized access attempts and affects multiple users in an enterprise setting.,FALSE,2026-03-10T15:04:17.332-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,90